Province/State,Country/Region,Lat,Long,03/01/2020,03/02/2020,03/03/2020,03/04/2020,03/05/2020,03/06/2020,03/07/2020,03/08/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20
Agadir,Maroc,30.411518,-9.576785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,Maroc,33.572781,-7.622024,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Meknes,Maroc,33.884690,-5.546263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanger,Maroc,35.774397,-5.826233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oujda,Maroc,34.685397 ,-1.908511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Settat,Maroc,33.000491,-7.618973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guelmim,Maroc,28.987713, -10.057362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabat-Salé,Maroc,34.012554,-6.811690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Taroudant,Maroc,30.474269, -8.870559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khouribga,Maroc,32.877491,-6.917809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fés,Maroc,34.033048,-5.009297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetouan,Maroc,35.580316,-5.364590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marrakesh,Maroc,31.644483,-7.998939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fquih Ben Salah,Maroc,32.500602,-6.693077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Temara,Maroc,33.917577,-6.946865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
